,Blue,Green,Red,NIR,SWIR1,SWIR2
3296,27,23,17,74,26,10
3297,31,25,16,8,4,3
3298,27,23,17,59,27,11
3299,22,17,12,48,24,7
3300,22,18,12,62,28,10
3301,25,15,10,6,4,4
3302,22,16,11,62,26,8
3303,23,20,13,78,27,8
3304,25,23,15,81,36,11
3305,25,23,15,90,37,13
3306,24,20,13,67,30,10
3307,24,19,13,69,36,12
3308,31,27,20,81,30,14
3309,26,20,14,66,33,12
3310,31,26,20,86,36,15
3311,38,33,28,85,37,18
3312,24,16,11,45,19,7
3313,23,15,10,49,21,6
3314,35,30,23,80,37,16
3315,39,33,30,24,9,6
3316,26,23,15,83,34,12
3317,23,22,15,82,38,13
3318,37,29,22,18,15,12
3319,31,25,22,28,13,9
3320,26,24,16,67,45,19
3321,23,19,12,78,36,12
3322,24,18,11,72,29,9
3323,25,22,14,78,36,13
3324,21,17,11,58,30,10
3325,28,22,17,68,24,10
3326,24,16,12,24,11,5
3327,28,23,22,43,67,33
3328,24,19,13,64,30,11
3329,35,31,28,12,4,3
3330,25,20,14,80,25,7
3331,31,23,13,7,4,2
3332,37,32,31,29,16,8
3333,32,25,18,8,3,2
3334,25,19,14,59,28,10
3335,35,28,20,10,6,5
3336,22,18,12,46,24,10
3337,22,15,9,52,23,7
3338,36,34,31,15,6,4
3339,35,31,22,11,8,6
3340,25,20,13,75,23,7
3341,31,25,22,10,2,1
3342,21,15,9,43,19,6
3343,41,35,35,27,9,6
3344,32,27,21,70,31,14
3345,23,18,12,60,24,8
3346,37,33,31,14,7,4
3347,27,17,12,8,6,4
3348,26,20,14,83,35,12
3349,22,17,11,64,29,10
3350,24,17,11,68,31,10
3351,32,26,19,8,4,3
3352,24,17,11,46,20,7
3353,30,25,20,10,3,2
3354,32,26,17,9,3,3
3355,30,27,21,8,3,3
3356,34,29,23,96,34,13
3357,24,18,12,59,30,11
3358,25,19,13,33,16,6
3359,23,18,11,71,23,6
3360,21,18,10,75,32,10
3361,32,27,21,76,35,15
3362,32,28,23,10,4,3
3363,28,19,11,5,3,1
3364,24,17,12,39,16,5
3365,30,25,17,104,34,11
3366,22,19,11,72,32,9
3367,34,29,26,12,5,3
3368,25,21,13,67,29,10
3369,29,24,18,83,39,15
3370,24,21,16,65,43,16
3371,31,21,15,10,9,7
3372,39,33,31,33,18,15
3373,23,18,11,70,30,10
3374,30,25,15,7,3,3
3375,36,30,22,13,9,7
3376,33,29,27,13,4,3
3377,35,29,21,13,9,6
3378,25,15,9,6,3,3
3379,26,23,15,90,34,11
3380,35,31,29,21,4,3
3381,22,18,12,70,30,10
3382,33,28,22,11,5,3
3383,32,29,27,12,4,1
3384,30,23,13,6,4,2
3385,29,24,20,9,3,3
3386,24,20,12,84,27,8
3387,47,43,38,25,23,18
3388,36,33,31,19,8,6
3389,35,29,25,53,32,18
3390,27,23,15,87,33,11
3391,33,27,20,8,4,4
3392,24,18,12,52,19,7
3393,27,24,17,74,30,12
3394,26,16,10,7,5,3
3395,31,26,25,26,8,5
3396,26,20,16,44,26,11
3397,28,18,14,10,9,7
3398,23,16,10,63,20,6
3399,39,33,25,15,10,8
3400,24,17,12,39,15,6
3401,22,14,10,24,10,5
3402,35,30,29,23,8,6
3403,27,21,16,38,16,6
3404,24,17,10,34,12,3
3405,32,23,16,12,9,7
3406,25,20,12,66,32,11
3407,19,15,8,49,21,7
3408,30,22,18,44,17,6
3409,31,23,17,9,3,1
3410,28,19,11,6,4,4
3411,25,22,16,60,42,16
3412,36,31,24,16,5,3
3413,31,27,25,19,1,0
3414,31,21,13,6,4,3
3415,25,17,12,68,35,12
3416,35,31,27,13,4,4
3417,33,31,30,18,2,2
3418,27,22,16,80,30,11
3419,23,18,11,77,29,8
3420,26,21,16,34,21,10
3421,44,39,37,45,19,12
3422,37,32,27,15,8,6
3423,25,21,14,74,25,9
3424,26,19,13,8,2,1
3425,29,17,10,6,4,3
3426,26,19,14,71,28,8
3427,30,23,13,7,4,3
3428,30,24,18,49,23,12
3429,32,26,19,9,6,4
3430,25,17,12,52,19,7
3431,25,21,16,59,36,17
3432,24,20,14,58,35,13
3433,25,21,14,77,34,11
3434,29,19,13,8,6,5
3435,32,28,21,9,5,3
3436,32,26,18,9,6,4
3437,29,25,23,60,27,10
3438,35,30,28,15,6,4
3439,26,21,14,59,30,11
3440,23,19,12,85,30,9
3441,23,20,13,61,32,11
3442,29,18,11,6,4,2
3443,28,20,10,5,3,3
3444,28,22,19,55,38,16
3445,42,40,42,34,11,8
3446,22,18,12,65,30,11
3447,22,18,11,76,33,10
3448,32,25,16,8,4,3
3449,24,17,11,40,12,3
3450,34,29,25,13,4,3
3451,32,27,21,63,28,13
3452,31,27,20,9,5,4
3453,25,14,10,7,4,4
3454,24,20,11,89,31,8
3455,31,24,15,9,5,4
3456,21,18,11,75,28,9
3457,33,24,16,9,7,5
3458,36,30,25,65,34,17
3459,21,17,11,73,34,11
3460,33,29,24,47,41,18
3461,35,32,30,17,2,2
3462,29,20,14,9,7,5
3463,26,17,11,37,9,1
3464,24,20,14,62,32,11
3465,28,16,10,6,4,2
3466,22,15,10,48,20,8
3467,35,32,30,17,3,3
3468,33,29,27,20,6,4
3469,33,28,22,68,38,21
3470,26,21,15,66,41,15
3471,24,19,13,66,29,10
3472,23,22,14,81,34,13
3473,40,29,25,20,19,14
3474,24,15,9,6,3,2
3475,21,17,9,72,21,7
3476,44,37,32,24,14,11
3477,33,28,20,10,8,6
3478,22,16,10,62,26,8
3479,33,29,26,12,3,3
3480,37,32,24,13,10,6
3481,36,31,27,17,8,6
3482,21,17,11,68,33,11
3483,33,29,26,11,3,3
3484,38,33,29,19,11,8
3485,32,27,20,10,5,3
3486,33,27,21,10,5,4
3487,35,28,18,12,7,5
3488,23,17,12,60,25,7
3489,23,18,11,73,30,9
3490,21,17,11,69,26,8
3491,33,31,29,13,5,3
3492,25,22,16,55,32,12
3493,44,40,37,23,17,14
3494,37,33,30,20,10,8
3495,25,20,14,77,31,10
3496,25,21,18,53,46,24
3497,35,31,24,11,7,5
3498,25,20,14,69,31,11
3499,34,29,22,11,7,4
3500,24,20,15,44,21,9
3501,42,37,33,26,13,10
3502,23,19,12,71,31,11
3503,27,21,17,54,25,11
3504,31,24,15,7,4,3
3505,26,21,17,70,37,15
3506,20,14,8,46,19,6
3507,24,20,12,68,24,8
3508,27,22,14,86,35,12
3509,28,27,18,104,45,14
3510,24,20,14,73,37,12
3511,27,24,17,72,28,12
3512,23,18,13,65,34,11
3513,34,31,28,17,7,4
3514,65,58,56,53,36,26
3515,33,30,25,11,7,4
3516,27,22,17,66,43,17
3517,24,20,13,76,37,13
3518,23,20,12,81,31,10
3519,34,29,23,11,7,6
3520,26,21,14,83,24,7
3521,46,40,37,32,21,17
3522,24,15,10,22,11,3
3523,24,18,12,80,28,9
3524,24,19,14,47,30,12
3525,32,26,17,8,4,2
3526,23,19,15,62,35,13
3527,31,27,19,10,4,3
3528,42,38,36,21,13,10
3529,31,24,14,7,4,2
3530,25,15,10,6,5,2
3531,26,23,16,85,46,18
3532,27,22,18,70,29,10
3533,23,20,15,55,39,16
3534,22,18,11,63,30,10
3535,22,17,11,65,29,10
3536,24,17,12,30,14,8
3537,25,24,15,88,34,12
3538,31,23,14,7,3,2
3539,27,16,10,7,5,4
3540,30,20,15,11,9,8
3541,39,38,35,30,10,7
3542,40,34,27,18,14,11
3543,22,17,11,65,28,8
3544,22,16,10,49,22,7
3545,26,21,14,80,29,9
3546,27,21,14,49,25,9
3547,23,17,11,53,22,7
3548,28,22,18,51,34,18
3549,31,24,16,10,8,7
3550,42,33,28,21,15,10
3551,32,22,12,7,4,4
3552,32,26,21,8,3,2
3553,33,30,25,15,3,2
3554,24,20,13,75,33,11
3555,23,21,13,81,38,11
3556,32,26,18,9,4,2
3557,39,33,29,19,14,10
3558,29,25,19,70,33,14
3559,48,45,41,22,15,11
3560,30,27,25,21,14,7
3561,32,26,18,7,3,4
3562,25,21,13,63,25,8
3563,35,28,26,21,3,1
3564,30,23,14,6,3,2
3565,20,15,10,58,23,7
3566,47,42,39,89,54,28
3567,34,27,19,9,6,4
3568,34,29,23,10,5,3
3569,26,22,16,69,35,13
3570,32,25,16,7,5,4
3571,28,23,16,64,25,9
3572,37,30,26,18,12,9
3573,36,33,32,20,4,2
3574,25,22,13,80,33,11
3575,35,31,30,19,3,2
3576,37,31,27,18,9,6
3577,29,23,18,10,2,1
3578,31,26,21,10,3,2
3579,27,22,16,76,33,12
3580,23,18,13,58,26,10
3581,24,21,15,71,33,11
3582,30,24,14,7,4,3
3583,26,24,17,81,35,12
3584,25,20,17,54,38,15
3585,24,20,15,59,38,14
3586,33,28,24,11,8,7
3587,26,21,14,63,24,9
3588,24,22,14,62,25,9
3589,26,19,15,30,20,9
3590,32,28,20,8,4,2
3591,23,16,10,64,26,9
3592,33,26,17,10,5,3
3593,24,19,12,76,31,11
3594,25,22,15,69,35,12
3595,25,21,14,81,32,12
3596,32,26,17,8,4,3
3597,30,25,15,7,4,3
3598,27,17,10,7,4,2
3599,21,14,9,23,8,2
3600,37,33,29,20,8,4
3601,34,24,19,44,16,7
3602,33,29,22,91,43,21
3603,23,17,12,62,23,8
3604,31,29,20,10,4,3
3605,34,28,17,9,6,3
3606,27,22,15,65,27,10
3607,36,31,30,17,8,5
3608,30,25,25,18,1,1
3609,40,36,32,19,13,9
3610,39,30,22,15,10,8
3611,31,23,14,8,5,3
3612,23,22,15,76,42,16
3613,102,111,105,152,108,63
3614,30,19,13,9,7,4
3615,35,30,25,13,7,5
3616,23,15,9,31,11,3
3617,33,31,29,16,4,2
3618,26,23,16,71,27,10
3619,27,23,19,63,43,18
3620,41,37,35,24,14,10
3621,26,20,14,68,29,9
3622,28,22,15,93,33,11
3623,23,18,13,65,39,15
3624,25,19,13,79,35,12
3625,21,17,9,76,34,10
3626,25,20,11,78,29,10
3627,22,17,11,71,29,9
3628,23,19,12,58,28,10
3629,26,21,15,71,26,10
3630,31,25,19,63,28,13
3631,26,23,14,107,52,19
3632,23,16,11,64,29,10
3633,25,13,8,5,2,2
3634,21,18,12,75,33,11
3635,31,27,22,62,32,15
3636,37,34,34,23,6,4
3637,30,25,19,8,3,2
3638,24,21,16,43,31,12
3639,31,28,20,10,3,3
3640,23,20,12,70,30,10
3641,24,18,12,46,14,5
3642,34,30,26,16,4,3
3643,25,17,13,32,15,6
3644,33,28,19,8,4,3
3645,25,22,17,72,54,23
3646,82,76,77,100,69,44
3647,34,29,25,12,4,4
3648,23,18,12,69,31,10
3649,22,18,12,67,33,11
3650,24,19,12,79,36,11
3651,29,20,13,8,6,4
3652,26,21,14,55,29,11
3653,30,25,20,69,32,16
3654,35,32,26,89,46,26
3655,24,18,12,47,20,6
3656,43,41,42,32,13,9
3657,31,25,16,9,4,3
3658,47,43,43,36,18,13
3659,31,27,21,10,6,4
3660,25,20,13,78,35,12
3661,25,21,15,44,23,12
3662,22,16,10,59,27,9
3663,25,20,13,68,30,11
3664,24,18,12,68,31,11
3665,33,28,24,11,6,4
3666,24,20,14,80,26,7
3667,23,19,12,61,37,16
3668,28,23,17,71,27,11
3669,25,26,15,115,43,14
3670,23,18,12,50,25,9
3671,21,16,10,66,29,8
3672,43,38,31,23,13,11
3673,27,19,13,57,20,8
3674,40,36,35,22,7,6
3675,25,19,13,58,24,9
3676,29,18,11,6,4,3
3677,37,33,27,13,6,5
3678,33,28,23,10,4,3
3679,23,18,12,61,32,12
3680,29,19,14,10,8,6
3681,25,14,10,7,4,3
3682,24,21,16,60,34,12
3683,27,22,17,58,41,16
3684,33,28,24,21,12,9
3685,27,22,16,69,34,12
3686,26,22,16,61,38,16
3687,40,35,34,29,11,10
3688,22,15,11,25,15,7
3689,25,22,23,40,29,16
3690,25,15,9,6,4,3
3691,22,15,10,32,15,6
3692,26,15,9,6,4,3
3693,25,22,15,76,34,13
3694,25,19,11,42,19,7
3695,36,33,29,17,8,6
3696,22,17,11,58,21,7
3697,30,20,14,10,8,5
3698,32,25,16,8,4,4
3699,24,15,10,29,13,6
3700,24,21,13,80,30,9
3701,37,33,32,17,8,6
3702,27,19,14,40,18,7
3703,34,31,31,23,1,1
3704,23,17,10,54,23,8
3705,26,24,17,81,36,13
3706,22,16,10,44,18,6
3707,23,20,14,70,33,12
3708,25,21,13,76,28,9
3709,24,20,13,63,24,11
3710,23,17,12,36,14,5
3711,27,24,16,92,38,12
3712,24,17,11,48,19,6
3713,56,50,46,68,35,24
3714,27,17,11,6,4,3
3715,26,23,15,87,40,14
3716,34,31,25,11,6,4
3717,33,29,24,11,6,5
3718,21,14,9,26,10,3
3719,30,28,22,75,44,17
3720,36,31,29,29,14,11
3721,32,27,22,10,5,4
3722,35,26,20,17,16,14
3723,26,20,15,49,27,13
3724,28,20,13,20,6,4
3725,32,27,20,9,4,3
3726,34,30,22,10,5,4
3727,22,17,11,62,29,9
3728,27,21,16,70,31,11
3729,26,24,17,86,35,12
3730,44,39,35,23,17,13
3731,37,30,23,14,13,10
3732,32,26,18,9,3,3
3733,47,42,36,28,23,14
3734,26,21,16,60,27,10
3735,21,18,12,66,29,10
3736,30,23,17,7,4,2
3737,35,31,25,14,5,3
3738,23,18,11,45,22,7
3739,24,19,14,55,27,11
3740,36,32,27,16,5,3
3741,33,26,18,13,8,6
3742,37,35,34,29,10,7
3743,26,19,13,51,22,7
3744,31,26,21,8,2,2
3745,26,20,13,64,25,8
3746,23,21,15,67,42,16
3747,31,21,15,11,8,7
3748,23,18,12,65,23,6
3749,40,33,23,16,15,14
3750,24,17,11,42,15,5
3751,23,23,14,88,38,13
3752,30,22,18,39,25,12
3753,28,24,16,72,24,8
3754,23,20,13,78,30,10
3755,25,21,16,74,39,14
3756,26,21,17,57,37,15
3757,29,21,12,6,3,3
3758,28,17,11,7,5,2
3759,23,18,13,49,37,14
3760,24,18,12,73,32,12
3761,43,36,32,77,37,21
3762,31,26,20,9,4,2
3763,31,25,20,8,4,3
3764,23,20,13,73,32,11
3765,24,19,13,55,25,10
3766,39,37,36,30,10,8
3767,46,42,37,28,13,11
3768,38,36,35,23,6,4
3769,35,30,27,20,9,6
3770,32,26,24,16,2,2
3771,25,19,14,33,20,9
3772,25,20,15,56,27,11
3773,25,19,13,63,21,7
3774,22,18,12,72,32,9
3775,33,30,29,21,10,7
3776,21,19,12,66,26,8
3777,31,22,15,9,5,4
3778,35,30,24,14,7,5
3779,26,21,15,68,38,14
3780,24,19,14,58,32,13
3781,29,23,16,82,30,10
3782,24,22,15,59,35,14
3783,36,30,29,24,10,7
3784,26,24,16,76,59,22
3785,32,27,17,9,4,3
3786,26,24,19,74,36,15
3787,36,29,26,27,18,10
3788,25,20,14,60,31,11
3789,23,19,14,56,32,12
3790,27,18,11,7,4,4
3791,35,33,32,16,5,3
3792,26,18,11,6,3,2
3793,36,32,25,78,34,17
3794,29,25,18,70,27,12
3795,35,29,22,12,9,7
3796,23,19,11,66,31,10
3797,24,19,13,67,29,9
3798,44,39,37,27,18,13
3799,22,17,10,57,27,10
3800,24,19,12,66,29,9
3801,33,28,22,81,37,16
3802,30,24,16,6,3,2
3803,21,17,10,63,28,10
3804,23,19,11,71,32,11
3805,33,28,21,10,6,4
3806,27,22,16,48,28,14
3807,34,29,26,15,5,4
3808,25,22,15,76,33,12
3809,63,58,55,84,51,32
3810,25,21,14,82,39,12
3811,30,22,12,6,3,3
3812,27,21,15,67,39,15
3813,31,26,17,8,4,2
3814,25,22,18,38,33,18
3815,28,22,13,6,1,1
3816,27,23,19,60,50,21
3817,23,19,13,73,32,11
3818,27,21,14,48,22,11
3819,23,18,13,53,29,11
3820,23,18,12,65,31,11
3821,33,27,18,7,4,3
3822,35,31,26,13,6,4
3823,33,28,19,9,7,5
3824,33,32,32,23,1,1
3825,38,33,27,17,10,8
3826,21,17,11,60,24,8
3827,36,32,25,96,47,19
3828,29,22,20,11,3,1
3829,32,27,21,10,4,3
3830,23,23,13,82,37,13
3831,36,29,20,11,8,7
3832,25,20,15,67,26,13
3833,29,21,14,8,5,4
3834,28,19,14,11,9,6
3835,30,27,21,77,38,17
3836,38,28,23,20,19,15
3837,24,19,12,74,19,6
3838,41,36,28,16,11,8
3839,24,20,13,82,36,11
3840,27,23,16,76,25,10
3841,34,30,27,11,1,1
3842,35,32,30,18,6,5
3843,22,14,8,18,7,2
3844,27,17,10,7,3,2
3845,23,18,12,64,26,11
3846,34,29,27,14,8,5
3847,24,20,13,52,22,8
3848,34,29,25,10,4,3
3849,36,33,31,18,4,2
3850,26,23,16,67,30,10
3851,23,19,15,65,36,14
3852,31,25,16,8,4,3
3853,32,27,20,8,4,3
3854,36,29,26,44,35,19
3855,33,27,18,9,6,4
3856,37,34,33,29,7,4
3857,23,18,12,51,28,9
3858,26,22,18,62,44,19
3859,26,20,14,49,23,9
3860,28,18,13,9,7,5
3861,32,24,15,9,6,3
3862,28,23,15,96,39,12
3863,52,47,42,77,45,26
3864,28,21,17,29,17,10
3865,33,28,24,10,4,3
3866,23,15,10,33,11,4
3867,26,20,14,49,22,9
3868,36,33,30,13,4,3
3869,27,21,14,67,23,9
3870,27,22,15,79,31,10
3871,28,24,18,62,29,14
3872,29,21,13,9,6,4
3873,33,28,23,9,4,4
3874,23,16,11,30,16,6
3875,22,15,10,23,10,5
3876,32,28,23,10,4,3
3877,24,18,10,68,26,7
3878,25,18,12,51,23,8
3879,65,57,53,72,29,12
3880,49,44,38,31,23,18
3881,22,18,12,82,32,12
3882,35,31,27,17,4,3
3883,32,25,17,9,7,4
3884,29,24,18,63,24,11
3885,29,19,14,10,9,6
3886,27,25,21,51,34,17
3887,32,28,25,11,3,3
3888,25,20,13,81,37,14
3889,31,26,27,20,1,1
3890,23,19,13,75,38,14
3891,29,21,16,37,16,8
3892,34,26,17,10,7,6
3893,20,13,7,21,7,3
3894,26,16,11,8,5,4
3895,29,24,19,69,36,15
3896,39,31,26,49,22,12
3897,27,24,17,89,36,13
3898,31,26,22,12,3,3
3899,28,17,9,6,4,4
3900,30,20,12,7,5,4
3901,29,24,17,79,35,13
3902,24,18,11,65,20,6
3903,33,28,23,12,7,5
3904,29,23,18,7,3,2
3905,22,18,11,80,36,12
3906,36,32,29,19,8,5
3907,36,32,24,11,6,6
3908,23,17,11,70,27,9
3909,27,17,11,7,4,4
3910,39,33,28,70,40,23
3911,34,31,25,88,39,19
3912,29,23,18,7,3,1
3913,25,17,10,36,13,4
3914,25,22,17,66,48,17
3915,36,31,26,14,7,6
3916,31,26,20,9,3,3
3917,35,27,18,14,13,9
3918,36,30,24,66,32,14
3919,25,21,12,77,30,10
3920,36,32,28,20,10,7
3921,24,20,12,72,24,7
3922,22,17,12,61,29,10
3923,27,16,11,7,4,3
3924,37,32,27,59,28,14
3925,29,20,11,7,4,3
3926,24,18,12,55,19,6
3927,41,36,35,33,13,8
3928,25,14,10,7,5,4
3929,34,29,26,12,4,4
3930,25,21,16,72,42,15
3931,26,18,13,36,15,7
3932,33,29,26,14,6,4
3933,28,24,18,69,27,12
3934,29,21,14,8,4,2
3935,42,40,38,32,15,10
3936,34,28,22,11,7,4
3937,26,19,13,59,27,11
3938,40,37,36,33,13,10
3939,23,18,11,73,32,10
3940,35,29,23,14,8,5
3941,24,19,13,64,26,9
3942,25,19,12,70,23,7
3943,26,22,16,66,34,12
3944,25,21,16,62,30,11
3945,41,34,26,18,15,12
3946,26,22,19,55,46,19
3947,26,22,16,79,27,9
3948,29,21,15,42,18,7
3949,24,22,14,84,36,13
3950,29,27,18,105,37,12
3951,43,39,38,22,12,8
3952,42,39,36,31,12,8
3953,25,19,13,72,24,8
3954,23,20,13,78,27,9
3955,33,29,27,13,4,2
3956,42,37,35,23,16,13
3957,32,22,16,13,10,9
3958,28,22,16,68,21,8
3959,47,40,37,65,30,19
3960,29,24,18,80,41,15
3961,23,18,13,54,28,9
3962,42,38,33,27,14,10
3963,36,30,27,17,8,6
3964,25,21,14,80,36,12
3965,27,22,16,65,30,11
3966,38,33,29,16,8,7
3967,25,19,13,50,18,7
3968,87,91,88,125,77,57
3969,26,19,13,41,13,5
3970,30,25,21,26,24,14
3971,29,20,14,37,14,6
3972,29,26,20,8,3,2
3973,29,22,17,48,22,11
3974,24,19,12,60,18,5
3975,31,27,24,10,2,2
3976,24,18,12,63,27,9
3977,35,31,28,16,11,8
3978,27,23,15,92,40,14
3979,25,21,15,66,37,13
3980,61,51,46,56,27,11
3981,25,22,18,61,56,28
3982,31,26,17,7,3,2
3983,26,22,18,65,41,16
3984,23,18,11,71,34,11
3985,22,17,10,56,17,6
3986,26,21,12,69,25,7
3987,27,22,16,64,30,12
3988,26,21,17,70,38,16
3989,22,18,11,72,30,10
3990,32,24,15,9,6,5
3991,25,20,14,49,29,12
3992,24,20,14,55,29,12
3993,32,26,21,9,3,3
3994,36,29,22,11,7,5
3995,28,24,17,69,23,8
3996,29,20,11,5,1,1
3997,24,22,14,60,35,12
3998,25,18,14,45,23,10
3999,56,54,53,42,28,22
4000,27,23,19,66,36,20
4001,27,24,18,68,46,24
4002,27,22,17,34,21,11
4003,29,25,20,10,4,3
4004,24,20,15,66,39,18
4005,25,22,16,61,30,14
4006,25,20,17,45,32,17
4007,26,19,15,37,17,10
4008,26,23,21,60,41,21
4009,25,21,16,46,31,16
4010,28,22,18,56,43,22
4011,30,25,18,47,20,10
4012,27,21,17,7,2,1
4013,28,22,18,42,20,10
4014,28,22,15,8,3,2
4015,28,22,17,9,4,3
4016,25,19,14,47,25,13
4017,27,22,16,8,2,1
4018,29,23,18,9,4,3
4019,33,21,15,52,16,10
4020,27,22,17,6,2,1
4021,29,24,19,8,4,2
4022,26,23,20,46,30,18
4023,29,23,17,49,19,8
4024,28,22,19,11,4,3
4025,27,22,19,8,3,2
4026,27,21,17,42,23,16
4027,32,26,21,12,5,4
4028,30,23,17,50,19,9
4029,25,20,16,56,37,22
4030,28,22,15,39,28,15
4031,27,23,19,41,27,16
4032,28,21,16,45,30,16
4033,25,21,17,55,27,18
4034,26,21,19,42,24,13
4035,26,17,12,9,3,2
4036,31,24,20,10,4,3
4037,25,20,16,47,28,16
4038,28,22,17,7,2,1
4039,25,22,16,56,34,19
4040,27,19,14,15,7,4
4041,28,22,15,53,22,10
4042,27,22,16,7,2,2
4043,27,22,18,41,23,13
4044,28,24,21,9,3,3
4045,26,22,16,68,46,22
4046,24,17,13,12,3,2
4047,30,24,21,11,4,3
4048,29,22,19,11,4,3
4049,29,23,20,8,3,2
4050,30,24,19,51,24,11
4051,29,22,16,68,32,14
4052,27,22,16,7,2,1
4053,28,22,15,57,28,14
4054,28,22,17,8,2,1
4055,31,26,22,10,4,3
4056,24,20,14,50,41,20
4057,26,21,15,7,2,1
4058,29,22,17,9,3,2
4059,27,21,16,7,2,1
4060,26,20,15,7,2,1
4061,28,20,16,42,23,11
4062,29,21,14,50,18,10
4063,30,25,19,51,24,12
4064,29,22,17,7,2,1
4065,28,22,17,6,2,1
4066,29,22,18,11,4,3
4067,27,21,16,49,36,17
4068,27,22,17,7,2,1
4069,28,21,17,33,19,12
4070,27,19,15,20,11,7
4071,28,22,17,6,2,1
4072,27,22,18,7,2,1
4073,26,22,18,71,49,24
4074,30,24,20,8,3,3
4075,30,24,18,46,17,9
4076,29,22,19,10,6,4
4077,30,23,17,45,19,10
4078,29,21,15,37,19,8
4079,27,21,16,8,2,1
4080,28,23,17,56,27,13
4081,28,24,20,43,23,14
4082,28,24,22,54,32,19
4083,28,21,18,33,17,12
4084,30,24,18,53,25,12
4085,27,21,14,61,28,12
4086,29,23,17,50,16,8
4087,28,23,21,48,27,17
4088,29,23,18,51,21,10
4089,28,22,16,8,3,2
4090,26,23,17,59,37,20
4091,27,22,18,8,3,2
4092,26,23,19,58,40,21
4093,25,21,18,52,33,20
4094,27,20,15,20,10,7
4095,25,19,15,47,24,12
4096,26,22,17,8,3,2
4097,25,22,17,52,37,20
4098,27,21,17,14,5,3
4099,27,22,18,29,6,4
4100,27,23,17,38,24,13
4101,29,25,20,10,4,2
4102,31,25,19,46,19,9
4103,29,23,16,43,19,11
4104,28,22,18,8,3,2
4105,25,23,16,60,30,14
4106,28,24,17,57,25,11
4107,29,25,21,47,22,15
4108,33,25,23,10,3,2
4109,27,19,14,15,7,4
4110,29,23,16,56,26,11
4111,26,20,16,40,26,16
4112,27,21,17,47,34,17
4113,26,22,18,60,32,20
4114,26,21,18,51,26,18
4115,30,23,18,53,29,17
4116,28,22,18,38,18,12
4117,27,21,16,6,2,1
4118,28,23,20,46,30,18
4119,29,21,17,7,2,1
4120,27,23,17,62,39,18
4121,29,23,19,9,3,2
4122,29,22,17,8,3,2
4123,27,22,18,6,2,2
4124,29,23,18,8,2,1
4125,28,23,17,9,2,1
4126,30,25,21,12,4,3
4127,29,23,17,54,22,10
4128,28,22,18,8,2,2
4129,28,22,18,7,2,2
4130,25,22,16,62,39,18
4131,27,21,16,8,2,1
4132,26,24,19,61,45,23
4133,27,21,18,43,26,14
4134,29,24,19,8,4,3
4135,26,22,17,58,36,18
4136,29,23,19,7,2,1
4137,29,21,16,50,23,11
4138,25,22,16,71,31,13
4139,29,21,16,9,4,3
4140,30,25,22,11,4,3
4141,29,23,18,7,2,2
4142,30,24,22,12,5,3
4143,25,22,16,60,32,15
4144,28,23,18,39,23,13
4145,27,24,18,57,29,20
4146,32,23,17,52,21,10
4147,28,25,19,53,23,13
4148,29,23,20,9,4,3
4149,27,21,14,54,29,13
4150,26,22,16,53,38,19
4151,28,22,16,50,25,11
4152,29,23,18,53,26,14
4153,24,22,16,65,46,23
4154,25,22,18,51,25,15
4155,28,21,17,10,4,3
4156,29,20,15,56,31,15
4157,28,23,17,7,3,2
4158,32,25,19,51,20,10
4159,27,23,18,60,33,18
4160,30,24,21,11,5,3
4161,27,22,19,37,25,16
4162,27,19,15,22,11,7
4163,25,22,17,53,31,16
4164,28,23,16,55,23,11
4165,26,22,20,7,2,2
4166,29,24,20,61,43,22
4167,27,22,16,8,3,2
4168,29,23,18,7,2,2
4169,25,21,15,52,40,20
4170,25,22,16,57,36,18
4171,29,23,16,53,24,12
4172,28,23,19,36,20,12
4173,24,21,16,62,38,18
4174,34,25,21,12,5,4
4175,27,21,16,7,2,1
4176,28,23,16,57,27,12
4177,27,20,15,22,11,8
4178,28,22,19,38,23,15
4179,29,23,16,56,26,11
4180,29,22,17,52,23,12
4181,28,22,17,7,2,1
4182,27,23,16,49,31,18
4183,29,22,18,37,22,16
4184,25,21,17,47,31,19
4185,30,24,23,43,23,16
4186,28,23,20,10,3,2
4187,26,24,21,67,47,25
4188,24,22,15,58,30,15
4189,28,21,18,46,26,14
4190,24,22,17,67,33,15
4191,26,20,15,54,37,19
4192,24,21,15,59,38,18
4193,28,22,18,7,2,2
4194,27,25,22,62,36,19
4195,28,20,17,22,9,5
4196,25,20,15,34,14,9
4197,29,24,17,57,30,15
4198,28,22,16,7,2,2
4199,25,22,15,62,34,15
4200,29,23,20,8,3,2
4201,28,22,18,8,3,2
4202,27,21,16,8,3,2
4203,26,21,16,40,20,10
4204,29,22,16,49,21,10
4205,27,20,14,6,2,2
4206,28,22,19,8,3,2
4207,24,21,16,59,31,14
4208,27,22,16,7,2,1
4209,27,23,20,56,36,22
4210,26,24,21,63,44,23
4211,28,22,19,41,22,11
4212,29,23,17,47,20,10
4213,31,25,22,59,23,15
4214,29,19,14,44,15,8
4215,27,25,21,68,41,21
4216,27,21,16,59,30,13
4217,30,22,19,12,6,4
4218,30,25,21,11,4,3
4219,31,22,17,9,3,2
4220,27,23,19,42,22,13
4221,28,23,20,44,25,15
4222,27,21,17,25,13,9
4223,27,20,17,7,2,2
4224,28,18,14,16,8,5
4225,27,21,15,55,24,11
4226,28,20,14,10,4,3
